Player,Yrs,Season,Age,Tm,Lg,POS,G,GS,MP.1,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB.1,AST.1,STL,BLK,TOV,PF,PTS.1
Kyrie Irving,1,2011-12,19,CLE,NBA,G,51,51,30.5,6.9,14.6,.469,1.4,3.6,.399,5.4,11.1,.491,.517,3.4,3.8,.872,0.9,2.9,3.7,5.4,1.1,0.4,3.1,2.2,18.5
Kyrie Irving,2,2012-13,20,CLE,NBA,G,59,59,34.7,8.2,18.1,.452,1.8,4.7,.391,6.4,13.4,.474,.503,4.2,4.9,.855,0.6,3.1,3.7,5.9,1.5,0.4,3.2,2.5,22.5
Kyrie Irving,3,2013-14,21,CLE,NBA,G,71,71,35.2,7.5,17.4,.430,1.7,4.8,.358,5.8,12.6,.458,.480,4.1,4.8,.861,0.7,2.9,3.6,6.1,1.5,0.3,2.7,2.3,20.8
Kyrie Irving,4,2014-15,22,CLE,NBA,G,75,75,36.4,7.7,16.5,.468,2.1,5.0,.415,5.6,11.4,.491,.532,4.2,4.9,.863,0.7,2.4,3.2,5.2,1.5,0.3,2.5,1.9,21.7
Kyrie Irving,5,2015-16,23,CLE,NBA,G,53,53,31.5,7.4,16.6,.448,1.6,4.9,.321,5.8,11.6,.502,.496,3.2,3.6,.885,0.8,2.1,3.0,4.7,1.1,0.3,2.3,2.0,19.6
Derrick Williams,1,2011-12,20,MIN,NBA,F,66,15,21.5,3.1,7.5,.412,0.6,2.1,.268,2.5,5.5,.467,.449,2.1,3.0,.697,1.2,3.5,4.7,0.6,0.5,0.5,1.2,1.4,8.8
Derrick Williams,2,2012-13,21,MIN,NBA,F,78,56,24.6,4.3,10.1,.430,0.8,2.5,.332,3.5,7.6,.463,.471,2.5,3.5,.706,1.2,4.3,5.5,0.6,0.6,0.5,1.3,1.6,12.0
Derrick Williams,3,2013-14,22,TOT,NBA,F,78,15,23.3,2.6,6.2,.427,0.3,1.3,.263,2.3,4.9,.470,.454,2.4,3.3,.718,0.9,3.2,4.1,0.7,0.6,0.3,1.0,1.5,8.0
Derrick Williams,4,2014-15,23,SAC,NBA,F,74,6,19.8,2.9,6.6,.447,0.7,2.1,.314,2.3,4.4,.511,.498,1.8,2.6,.684,0.6,2.2,2.7,0.7,0.5,0.1,0.8,0.9,8.3
Derrick Williams,5,2015-16,24,NYK,NBA,F,80,9,17.9,3.2,7.1,.450,0.6,1.9,.293,2.6,5.2,.506,.488,2.4,3.2,.758,0.6,3.1,3.7,0.9,0.4,0.1,0.8,0.9,9.3
Enes Kanter,1,2011-12,19,UTA,NBA,C,66,0,13.2,1.8,3.6,.496,0.0,0.0,.000,1.8,3.6,.498,.496,1.1,1.6,.667,1.6,2.6,4.2,0.1,0.3,0.3,0.8,1.3,4.6
Enes Kanter,2,2012-13,20,UTA,NBA,C,70,2,15.4,2.9,5.4,.544,0.0,0.0,1.000,2.9,5.4,.542,.545,1.3,1.7,.795,1.9,2.4,4.3,0.4,0.4,0.5,1.4,1.7,7.2
Enes Kanter,3,2013-14,21,UTA,NBA,C,80,37,26.7,5.2,10.7,.491,0.0,0.0,.000,5.2,10.7,.492,.491,1.9,2.6,.730,2.8,4.7,7.5,0.9,0.4,0.5,1.8,2.9,12.3
Enes Kanter,4,2014-15,22,TOT,NBA,C,75,74,28.5,6.4,12.4,.519,0.2,0.6,.356,6.2,11.8,.528,.528,2.4,3.1,.782,3.7,5.3,8.9,0.7,0.5,0.4,1.9,2.5,15.5
Enes Kanter,5,2015-16,23,OKC,NBA,C,82,1,21.0,5.0,8.8,.576,0.1,0.3,.476,4.9,8.5,.579,.583,2.4,3.1,.797,3.0,5.1,8.1,0.4,0.3,0.4,1.4,2.0,12.7
Tristan Thompson,1,2011-12,20,CLE,NBA,F,60,25,23.7,3.2,7.4,.439,0.0,0.0,.000,3.2,7.3,.441,.439,1.8,3.2,.552,3.1,3.4,6.5,0.5,0.5,1.0,1.4,2.2,8.2
Tristan Thompson,2,2012-13,21,CLE,NBA,F,82,82,31.3,4.8,9.7,.488,0.0,0.0,.000,4.8,9.7,.490,.488,2.2,3.5,.608,3.7,5.7,9.4,1.3,0.7,0.9,1.5,2.9,11.7
Tristan Thompson,3,2013-14,22,CLE,NBA,F,82,82,31.6,4.4,9.3,.477,0.0,0.0,.000,4.4,9.3,.478,.477,2.9,4.1,.693,3.3,5.9,9.2,0.9,0.5,0.4,1.3,2.3,11.7
Tristan Thompson,4,2014-15,23,CLE,NBA,F,82,15,26.8,3.3,6.0,.547,0.0,0.0,,3.3,6.0,.547,.547,1.9,3.0,.641,3.3,4.7,8.0,0.5,0.4,0.7,1.0,2.3,8.5
Tristan Thompson,5,2015-16,24,CLE,NBA,F,82,34,27.7,3.0,5.1,.588,0.0,0.0,,3.0,5.1,.588,.588,1.8,3.0,.616,3.3,5.7,9.0,0.8,0.5,0.6,0.7,2.5,7.8
Jonas Valanciunas,1,2012-13,20,TOR,NBA,C,62,57,23.9,3.3,5.9,.557,0.0,0.0,,3.3,5.9,.557,.557,2.4,3.0,.789,2.0,4.0,6.0,0.7,0.3,1.3,1.5,3.0,8.9
Jonas Valanciunas,2,2013-14,21,TOR,NBA,C,81,81,28.2,4.4,8.3,.531,0.0,0.0,.000,4.4,8.3,.532,.531,2.4,3.2,.762,2.8,6.0,8.8,0.7,0.3,0.9,1.7,3.1,11.3
Jonas Valanciunas,3,2014-15,22,TOR,NBA,C,80,80,26.2,4.7,8.2,.572,0.0,0.0,.000,4.7,8.1,.573,.572,2.7,3.5,.786,2.7,6.0,8.7,0.5,0.4,1.2,1.4,2.8,12.0
Jonas Valanciunas,4,2015-16,23,TOR,NBA,C,60,59,26.0,5.1,8.9,.565,0.0,0.0,,5.1,8.9,.565,.565,2.7,3.6,.761,3.1,6.1,9.1,0.7,0.4,1.3,1.4,2.6,12.8
Jonas Valanciunas,5,2016-17,24,TOR,NBA,C,80,80,25.8,4.9,8.8,.557,0.0,0.0,.500,4.9,8.8,.557,.558,2.2,2.7,.811,2.8,6.7,9.5,0.7,0.5,0.8,1.3,2.7,12.0
Jan Vesely,1,2011-12,21,WAS,NBA,F,57,20,18.9,2.1,3.8,.537,0.0,0.0,.000,2.1,3.8,.539,.537,0.6,1.1,.532,1.8,2.6,4.4,0.8,0.7,0.6,1.1,2.7,4.7
Jan Vesely,2,2012-13,22,WAS,NBA,F,51,4,11.8,1.1,2.2,.500,0.0,0.0,.000,1.1,2.2,.504,.500,0.2,0.8,.308,0.8,1.5,2.4,0.5,0.3,0.3,0.5,2.1,2.5
Jan Vesely,3,2013-14,23,TOT,NBA,F,54,1,14.4,1.6,3.2,.514,0.0,0.0,,1.6,3.2,.514,.514,0.4,1.0,.339,1.5,2.0,3.5,0.4,1.0,0.6,0.7,2.2,3.6
Jan Vesely,4,2013-14,23,TOT,NBA,F,54,1,14.4,1.6,3.2,.514,0.0,0.0,,1.6,3.2,.514,.514,0.4,1.0,.339,1.5,2.0,3.5,0.4,1.0,0.6,0.7,2.2,3.6
Jan Vesely,5,2013-14,23,TOT,NBA,F,54,1,14.4,1.6,3.2,.514,0.0,0.0,,1.6,3.2,.514,.514,0.4,1.0,.339,1.5,2.0,3.5,0.4,1.0,0.6,0.7,2.2,3.6
Bismack Biyombo,1,2011-12,19,CHA,NBA,C,63,41,23.1,2.0,4.4,.464,0.0,0.0,,2.0,4.4,.464,.464,1.1,2.3,.483,1.8,4.0,5.8,0.4,0.3,1.8,1.1,2.3,5.2
Bismack Biyombo,2,2012-13,20,CHA,NBA,C,80,65,27.3,2.0,4.3,.451,0.0,0.0,,2.0,4.3,.451,.451,0.9,1.8,.521,2.4,4.9,7.3,0.4,0.4,1.8,1.0,2.4,4.8
Bismack Biyombo,3,2013-14,21,CHA,NBA,C,77,9,13.9,1.1,1.9,.611,0.0,0.0,,1.1,1.9,.611,.611,0.6,1.2,.517,1.4,3.4,4.8,0.1,0.1,1.1,0.5,1.6,2.9
Bismack Biyombo,4,2014-15,22,CHO,NBA,C,64,21,19.4,1.6,2.9,.543,0.0,0.0,,1.6,2.9,.543,.543,1.6,2.7,.583,2.5,3.9,6.4,0.3,0.3,1.5,0.8,2.2,4.8
Bismack Biyombo,5,2015-16,23,TOR,NBA,C,82,22,22.0,1.9,3.5,.542,0.0,0.0,.000,1.9,3.5,.544,.542,1.7,2.8,.628,2.2,5.8,8.0,0.4,0.2,1.6,0.9,2.7,5.5
Brandon Knight,1,2011-12,20,DET,NBA,G,66,60,32.3,4.8,11.7,.415,1.6,4.2,.380,3.2,7.5,.434,.483,1.6,2.1,.759,0.5,2.7,3.2,3.8,0.7,0.2,2.6,2.3,12.8
Brandon Knight,2,2012-13,21,DET,NBA,G,75,75,31.5,4.8,11.7,.407,1.6,4.4,.367,3.2,7.3,.430,.475,2.2,3.0,.733,0.7,2.6,3.3,4.0,0.8,0.1,2.7,2.1,13.3
Brandon Knight,3,2013-14,22,MIL,NBA,G,72,69,33.3,6.4,15.2,.422,1.5,4.7,.325,4.9,10.5,.466,.473,3.6,4.5,.802,0.6,2.9,3.5,4.9,1.0,0.2,2.6,2.0,17.9
Brandon Knight,4,2014-15,23,TOT,NBA,G,63,61,32.3,6.0,14.1,.422,2.0,5.1,.389,4.0,9.0,.441,.493,3.1,3.5,.874,0.4,3.4,3.9,5.2,1.4,0.2,3.0,1.8,17.0
Brandon Knight,5,2015-16,24,PHO,NBA,G,52,50,36.0,7.1,17.2,.415,2.3,6.8,.342,4.8,10.5,.461,.482,3.0,3.5,.852,0.7,3.2,3.9,5.1,1.2,0.4,3.4,2.4,19.6
Kemba Walker,1,2011-12,21,CHA,NBA,G,66,25,27.2,4.3,11.6,.366,1.0,3.4,.305,3.2,8.2,.392,.411,2.5,3.2,.789,0.5,3.1,3.5,4.4,0.9,0.3,1.8,1.2,12.1
Kemba Walker,2,2012-13,22,CHA,NBA,G,82,82,34.9,6.4,15.2,.423,1.3,4.0,.322,5.1,11.1,.459,.466,3.6,4.5,.798,0.7,2.7,3.5,5.7,2.0,0.4,2.4,1.9,17.7
Kemba Walker,3,2013-14,23,CHA,NBA,G,73,73,35.8,6.2,15.7,.393,1.5,4.5,.333,4.7,11.2,.417,.441,3.9,4.6,.837,0.5,3.7,4.2,6.1,1.2,0.4,2.3,1.8,17.7
Kemba Walker,4,2014-15,24,CHO,NBA,G,62,58,34.2,6.1,15.8,.385,1.4,4.5,.304,4.7,11.3,.418,.429,3.8,4.6,.827,0.6,3.0,3.5,5.1,1.4,0.5,1.6,1.5,17.3
Kemba Walker,5,2015-16,25,CHO,NBA,G,81,81,35.6,7.0,16.4,.427,2.2,6.0,.371,4.8,10.4,.459,.495,4.6,5.4,.847,0.7,3.7,4.4,5.2,1.6,0.5,2.1,1.4,20.9
Jimmer Fredette,1,2011-12,22,SAC,NBA,G,61,7,18.6,2.8,7.3,.386,1.3,3.5,.361,1.5,3.8,.409,.473,0.7,0.8,.833,0.3,0.9,1.2,1.8,0.5,0.0,1.1,1.2,7.6
Jimmer Fredette,2,2012-13,23,SAC,NBA,G,69,0,14.0,2.5,5.9,.421,0.9,2.3,.417,1.6,3.7,.423,.500,1.2,1.4,.859,0.3,0.8,1.0,1.3,0.4,0.0,1.0,0.9,7.2
Jimmer Fredette,3,2013-14,24,TOT,NBA,G,49,0,10.6,2.2,4.6,.471,0.8,1.7,.476,1.4,2.9,.469,.559,0.4,0.4,.905,0.2,0.9,1.1,1.3,0.3,0.1,1.0,0.7,5.6
Jimmer Fredette,4,2014-15,25,NOP,NBA,G,50,0,10.2,1.3,3.3,.380,0.2,1.0,.188,1.1,2.4,.458,.407,0.9,0.9,.956,0.2,0.6,0.8,1.2,0.3,0.0,0.7,0.9,3.6
Jimmer Fredette,5,2015-16,26,TOT,NBA,G,6,0,3.0,0.3,0.8,.400,0.2,0.3,.500,0.2,0.5,.333,.500,0.7,0.8,.800,0.0,0.0,0.0,0.2,0.2,0.0,0.3,0.3,1.5
Klay Thompson,1,2011-12,21,GSW,NBA,G,66,29,24.4,4.8,10.9,.443,1.7,4.1,.414,3.1,6.8,.460,.520,1.2,1.4,.868,0.4,2.1,2.4,2.0,0.7,0.3,1.6,2.3,12.5
Klay Thompson,2,2012-13,22,GSW,NBA,G,82,82,35.8,6.2,14.7,.422,2.6,6.4,.401,3.6,8.3,.437,.509,1.6,1.9,.841,0.4,3.3,3.7,2.2,1.0,0.5,1.9,2.9,16.6
Klay Thompson,3,2013-14,23,GSW,NBA,G,81,81,35.4,6.9,15.5,.444,2.8,6.6,.417,4.1,8.9,.464,.533,1.8,2.3,.795,0.5,2.6,3.1,2.2,0.9,0.5,1.7,2.9,18.4
Klay Thompson,4,2014-15,24,GSW,NBA,G,77,77,31.9,7.8,16.9,.463,3.1,7.1,.439,4.7,9.8,.481,.555,2.9,3.3,.879,0.4,2.9,3.2,2.9,1.1,0.8,1.9,1.6,21.7
Klay Thompson,5,2015-16,25,GSW,NBA,G,80,80,33.3,8.1,17.3,.470,3.5,8.1,.425,4.7,9.2,.510,.569,2.4,2.8,.873,0.4,3.4,3.8,2.1,0.8,0.6,1.7,1.9,22.1
Alec Burks,1,2011-12,20,UTA,NBA,G,59,0,15.9,2.6,6.1,.429,0.3,0.8,.333,2.3,5.3,.442,.450,1.8,2.4,.727,1.0,1.3,2.2,0.9,0.5,0.1,0.9,1.4,7.2
Alec Burks,2,2012-13,21,UTA,NBA,G,64,0,17.8,2.5,6.1,.420,0.5,1.4,.359,2.0,4.6,.439,.463,1.4,2.0,.713,0.6,1.7,2.3,1.4,0.5,0.2,1.2,1.8,7.0
Alec Burks,3,2013-14,22,UTA,NBA,G,78,12,28.1,4.9,10.7,.457,0.6,1.8,.350,4.2,8.8,.480,.487,3.6,4.8,.748,0.8,2.5,3.3,2.7,0.9,0.2,1.9,2.4,14.0
Alec Burks,4,2014-15,23,UTA,NBA,G,27,27,33.3,4.5,11.1,.403,1.0,2.5,.382,3.5,8.6,.409,.447,3.9,4.8,.822,0.7,3.5,4.2,3.0,0.6,0.2,1.9,2.4,13.9
Alec Burks,5,2015-16,24,UTA,NBA,G,31,3,25.7,4.4,10.8,.410,1.0,2.5,.405,3.4,8.2,.412,.458,3.4,4.5,.752,0.5,3.0,3.5,2.0,0.6,0.1,1.6,2.3,13.3
Markieff Morris,1,2011-12,22,PHO,NBA,F,63,7,19.5,2.8,6.9,.399,0.7,2.0,.347,2.1,5.0,.420,.448,1.2,1.7,.717,1.1,3.3,4.4,1.0,0.7,0.7,1.1,2.8,7.4
Markieff Morris,2,2012-13,23,PHO,NBA,F,82,32,22.4,3.2,8.0,.407,0.5,1.6,.336,2.7,6.3,.426,.442,1.1,1.5,.732,1.6,3.2,4.8,1.3,0.9,0.8,1.3,2.5,8.2
Markieff Morris,3,2013-14,24,PHO,NBA,F,81,0,26.6,5.1,10.4,.486,0.4,1.3,.315,4.7,9.1,.512,.507,3.2,4.0,.792,1.7,4.3,6.0,1.8,0.8,0.6,1.8,2.9,13.8
Markieff Morris,4,2014-15,25,PHO,NBA,F,82,82,31.5,6.2,13.4,.465,0.7,2.2,.318,5.5,11.2,.494,.491,2.2,2.8,.763,1.3,4.8,6.2,2.3,1.2,0.5,2.1,3.0,15.3
Markieff Morris,5,2015-16,26,TOT,NBA,F,64,45,25.5,4.8,11.2,.425,0.7,2.4,.303,4.0,8.8,.458,.458,1.7,2.3,.735,1.1,4.4,5.5,1.9,0.9,0.5,2.1,2.9,12.0
Marcus Morris,1,2011-12,22,HOU,NBA,F,17,0,7.4,0.9,3.2,.296,0.1,1.0,.118,0.8,2.2,.378,.315,0.4,0.5,.750,0.3,0.6,0.9,0.2,0.1,0.1,0.2,0.7,2.4
Marcus Morris,2,2012-13,23,TOT,NBA,F,77,23,19.8,2.9,6.8,.422,1.1,3.0,.369,1.8,3.8,.464,.504,0.9,1.5,.564,1.0,2.6,3.6,0.8,0.6,0.3,1.0,2.1,7.7
Marcus Morris,3,2013-14,24,PHO,NBA,F,82,1,22.0,3.5,7.9,.442,1.2,3.2,.381,2.3,4.8,.483,.518,1.5,1.9,.761,1.0,2.9,3.9,1.1,0.9,0.2,1.2,1.9,9.7
Marcus Morris,4,2014-15,25,PHO,NBA,F,81,35,25.2,4.1,9.4,.434,1.4,3.9,.358,2.7,5.6,.487,.507,0.9,1.4,.628,0.9,3.9,4.8,1.6,0.8,0.2,0.9,2.3,10.4
Marcus Morris,5,2015-16,26,DET,NBA,F,80,80,35.7,5.1,11.8,.434,1.4,3.7,.362,3.8,8.1,.467,.491,2.5,3.4,.749,1.1,3.9,5.1,2.5,0.8,0.3,1.8,2.1,14.1
Anthony Davis,1,2012-13,19,NOH,NBA,C,64,60,28.8,5.5,10.6,.516,0.0,0.1,.000,5.5,10.5,.521,.516,2.6,3.5,.751,2.6,5.6,8.2,1.0,1.2,1.8,1.4,2.5,13.5
Anthony Davis,2,2013-14,20,NOP,NBA,C,67,66,35.2,7.8,15.0,.519,0.0,0.1,.222,7.8,14.9,.522,.520,5.2,6.6,.791,3.1,7.0,10.0,1.6,1.3,2.8,1.6,3.0,20.8
Anthony Davis,3,2014-15,21,NOP,NBA,C,68,68,36.1,9.4,17.6,.535,0.0,0.2,.083,9.4,17.5,.540,.536,5.5,6.8,.805,2.5,7.7,10.2,2.2,1.5,2.9,1.4,2.1,24.4
Anthony Davis,4,2015-16,22,NOP,NBA,C,61,61,35.5,9.2,18.6,.493,0.6,1.8,.324,8.6,16.9,.511,.508,5.3,7.0,.758,2.1,8.1,10.3,1.9,1.3,2.0,2.0,2.4,24.3
Michael Kidd-Gilchrist,1,2012-13,19,CHA,NBA,F,78,77,26.0,3.6,7.9,.458,0.0,0.1,.222,3.6,7.7,.462,.460,1.8,2.4,.749,1.7,4.2,5.8,1.5,0.7,0.9,1.3,2.1,9.0
Michael Kidd-Gilchrist,2,2013-14,20,CHA,NBA,F,62,62,24.2,2.7,5.7,.473,0.0,0.1,.111,2.7,5.5,.483,.475,1.8,3.0,.614,1.8,3.5,5.2,0.8,0.7,0.6,1.0,2.3,7.2
Michael Kidd-Gilchrist,3,2014-15,21,CHO,NBA,F,55,52,28.9,4.1,8.8,.465,0.0,0.0,,4.1,8.8,.465,.465,2.7,3.9,.701,2.0,5.6,7.6,1.4,0.5,0.7,1.1,2.1,10.9
Michael Kidd-Gilchrist,4,2015-16,22,CHO,NBA,F,7,7,29.3,4.7,8.7,.541,0.4,1.0,.429,4.3,7.7,.556,.566,2.9,4.1,.690,1.7,4.7,6.4,1.3,0.4,0.4,1.1,1.3,12.7
Bradley Beal,1,2012-13,19,WAS,NBA,G,56,46,31.2,5.0,12.3,.410,1.6,4.2,.386,3.4,8.1,.424,.477,2.2,2.8,.786,0.8,3.0,3.8,2.4,0.9,0.5,1.6,2.0,13.9
Bradley Beal,2,2013-14,20,WAS,NBA,G,73,73,34.7,6.6,15.7,.419,1.9,4.7,.402,4.7,11.0,.426,.479,2.0,2.6,.788,0.7,3.0,3.7,3.3,1.0,0.2,1.8,2.1,17.1
Bradley Beal,3,2014-15,21,WAS,NBA,G,63,59,33.4,5.8,13.5,.427,1.7,4.1,.409,4.1,9.4,.434,.489,2.1,2.6,.783,0.9,2.9,3.8,3.1,1.2,0.3,2.0,2.2,15.3
Bradley Beal,4,2015-16,22,WAS,NBA,G,55,35,31.1,6.5,14.5,.449,1.9,4.9,.387,4.6,9.6,.481,.515,2.5,3.2,.767,0.7,2.7,3.4,2.9,1.0,0.2,2.0,2.1,17.4
Dion Waiters,1,2012-13,21,CLE,NBA,G,61,48,28.8,5.5,13.4,.412,1.0,3.3,.310,4.5,10.0,.446,.451,2.6,3.5,.746,0.4,2.1,2.4,3.0,1.0,0.3,2.0,1.9,14.7
Dion Waiters,2,2013-14,22,CLE,NBA,G,70,24,29.6,6.1,14.2,.433,1.3,3.6,.368,4.8,10.6,.455,.479,2.3,3.4,.685,0.5,2.3,2.8,3.0,0.9,0.2,2.2,2.2,15.9
Dion Waiters,3,2014-15,23,TOT,NBA,G,80,23,27.6,4.7,11.8,.396,0.9,3.1,.297,3.8,8.8,.431,.435,1.5,2.2,.680,0.5,1.9,2.4,2.0,1.1,0.3,1.4,1.9,11.8
Dion Waiters,4,2015-16,24,OKC,NBA,G,78,15,27.6,3.6,9.1,.399,1.1,3.1,.358,2.5,6.0,.421,.460,1.4,2.0,.713,0.5,2.1,2.6,2.0,1.0,0.2,1.5,1.8,9.8
Thomas Robinson,1,2012-13,21,TOT,NBA,F,70,0,15.1,2.0,4.6,.430,0.0,0.0,.000,2.0,4.6,.431,.430,0.8,1.6,.523,1.7,2.8,4.5,0.7,0.6,0.4,1.3,1.8,4.8
Thomas Robinson,2,2013-14,22,POR,NBA,F,70,0,12.5,2.0,4.2,.481,0.0,0.0,.000,2.0,4.2,.483,.481,0.8,1.4,.564,1.5,2.9,4.4,0.5,0.3,0.3,0.8,1.9,4.8
Thomas Robinson,3,2014-15,23,TOT,NBA,F,54,4,14.8,2.3,4.8,.485,0.0,0.0,.000,2.3,4.8,.488,.485,1.0,2.0,.528,1.8,3.9,5.6,0.6,0.6,0.4,1.1,1.9,5.7
Thomas Robinson,4,2015-16,24,BRK,NBA,F,71,7,12.9,1.8,4.1,.447,0.0,0.0,.000,1.8,4.1,.448,.447,0.7,1.5,.431,1.9,3.1,5.1,0.6,0.5,0.5,1.0,1.6,4.3
Damian Lillard,1,2012-13,22,POR,NBA,G,82,82,38.6,6.7,15.7,.429,2.3,6.1,.368,4.5,9.6,.469,.501,3.3,3.9,.844,0.5,2.6,3.1,6.5,0.9,0.2,3.0,2.1,19.0
Damian Lillard,2,2013-14,23,POR,NBA,G,82,82,35.8,6.7,15.9,.424,2.7,6.8,.394,4.1,9.1,.447,.508,4.5,5.2,.871,0.4,3.1,3.5,5.6,0.8,0.3,2.4,2.4,20.7
Damian Lillard,3,2014-15,24,POR,NBA,G,82,82,35.7,7.2,16.6,.434,2.4,7.0,.343,4.8,9.6,.500,.506,4.2,4.9,.864,0.6,4.0,4.6,6.2,1.2,0.3,2.7,2.0,21.0
Damian Lillard,4,2015-16,25,POR,NBA,G,75,75,35.7,8.2,19.7,.419,3.1,8.1,.375,5.2,11.5,.450,.497,5.5,6.2,.892,0.6,3.4,4.0,6.8,0.9,0.4,3.2,2.2,25.1
Harrison Barnes,1,2012-13,20,GSW,NBA,F,81,81,25.4,3.4,7.8,.439,0.6,1.8,.359,2.8,6.0,.464,.481,1.8,2.3,.758,0.7,3.5,4.1,1.2,0.6,0.2,1.2,1.7,9.2
Harrison Barnes,2,2013-14,21,GSW,NBA,F,78,24,28.3,3.5,8.7,.399,0.8,2.4,.347,2.6,6.3,.419,.448,1.7,2.3,.718,0.8,3.1,4.0,1.5,0.8,0.3,1.1,2.0,9.5
Harrison Barnes,3,2014-15,22,GSW,NBA,F,82,82,28.3,3.9,8.0,.482,1.1,2.6,.405,2.8,5.4,.519,.548,1.3,1.8,.720,1.4,4.1,5.5,1.4,0.7,0.2,0.9,1.8,10.1
Harrison Barnes,4,2015-16,23,GSW,NBA,F,66,59,30.9,4.5,9.6,.466,1.2,3.2,.383,3.2,6.3,.508,.531,1.5,2.0,.761,1.2,3.8,4.9,1.8,0.6,0.2,0.9,2.1,11.7
Terrence Ross,1,2012-13,21,TOR,NBA,G,73,2,17.0,2.5,6.3,.407,0.9,2.7,.332,1.7,3.6,.464,.478,0.4,0.6,.714,0.5,1.5,2.0,0.7,0.6,0.2,0.7,1.7,6.4
Terrence Ross,2,2013-14,22,TOR,NBA,G,81,62,26.7,3.9,9.3,.423,2.0,5.0,.395,1.9,4.2,.458,.531,1.0,1.2,.837,0.5,2.6,3.1,1.0,0.8,0.3,1.1,2.3,10.9
Terrence Ross,3,2014-15,23,TOR,NBA,G,82,61,25.5,3.8,9.2,.410,1.8,4.8,.372,2.0,4.4,.452,.507,0.5,0.7,.786,0.4,2.4,2.8,1.0,0.6,0.3,0.8,1.7,9.8
Terrence Ross,4,2015-16,24,TOR,NBA,G,73,7,23.9,3.7,8.6,.431,1.8,4.6,.386,1.9,3.9,.484,.536,0.7,0.8,.790,0.3,2.2,2.5,0.8,0.7,0.3,0.6,1.6,9.9
Andre Drummond,1,2012-13,19,DET,NBA,C,60,10,20.7,3.5,5.7,.608,0.0,0.0,.500,3.5,5.7,.609,.610,1.0,2.7,.371,2.8,4.8,7.6,0.5,1.0,1.6,1.0,2.4,7.9
Andre Drummond,2,2013-14,20,DET,NBA,C,81,81,32.3,5.9,9.5,.623,0.0,0.0,.000,5.9,9.5,.625,.623,1.7,4.0,.418,5.4,7.8,13.2,0.4,1.2,1.6,1.4,3.4,13.5
